text,user,sentiment
"Man, if Michael Avenatti, the attorney of Stormy Daniels, is able to do this, imagine what Michael Avenatti, the at… https://t.co/VwlZDLI5Lo",SirajAHashmi,positive
"RT @SirajAHashmi: Can’t believe Michael Avenatti, the attorney of Stormy Daniels, would just block me on Twitter. Michael Avenatti, the att…",BassAckwardsMSM,neutral
https://t.co/guBG05tiY1,iam_siraj_ali,neutral
"زما قاتل په راڼه ورځ ورک شي
  ما ته په خپلو محافظو کښې ټول چل ښکاري",siraj_salarzai,neutral
"RT @SirajAHashmi: Can’t believe Michael Avenatti, the attorney of Stormy Daniels, would just block me on Twitter. Michael Avenatti, the att…",Blake83040008,neutral
"Can’t believe Michael Avenatti, the attorney of Stormy Daniels, would just block me on Twitter. Michael Avenatti, t… https://t.co/FP6X41oAnF",SirajAHashmi,neutral
Conceding 110 run lead n then Siraj n Gurbani pick 7 wkts between them to skittle WI A for 210. Chasing 321 India A… https://t.co/exAN2exrwZ,rony619619,neutral
"RT @fantasia_iq: During Siraj fiasco, The gun was on Kabeer’s head and he said, •hum mar jayen gey talaaq nahi dengey•

Could he have said…",_geny__,neutral
@SirajOfficial @MianUsmanJaved Good  Siraj sahab ap to thek keh rhy ho.. wesy ap bhi kuch ker saqty ho ...✊,AbdulJabbarkho,positive
"@Hesham_Siraj

لايفوتك 20الف ريال و ايفونات اكس💸
.
اذا تعرف احد عمره فوق 25 سنه سجله في هذا الاستبيان وراح يدخل الس… https://t.co/jVi40R1EgP",Alwan_media,neutral
"RT @SirajBagwan9: 👨 मेरी हंसी😆का हिसाब kon 😃 करेगा
Meri 😈 गलती को माफ़ 😍कौन करेगा 😳
ए खुदा 😷मेरे dosto 😍 को सलामत 😎रखना 
😒😒
☝ वरना 👨 मेरी 💑…",AsifNad10214093,neutral
"RT @Abodsadek: - حساب اليوفي في تويتر : 6 مليون متابع
- حساب كريستيانو : 74.5 مليون متابع

- اليوفي : 2 دوري أبطال
- كريستيانو : 5 دوري أبط…",Hesham_Siraj,neutral
RT @sachin_rt: A dent at Trent with a different kind of a sixer today from @imkuldeep18. Simply brilliant bowling. #ENGvIND https://t.co/gp…,siraj_zubair3,positive
"RT @ABdeVilliers17: Strong start from our Protea boys, maybe could’ve been even better, but I believe the batters will make it count tomorr…",siraj_zubair3,positive
"@prakpawar @Siraj_Dokadia @kirangitteias 
Sir wagholi mey dhyan de do",vineekalda,neutral
"RT @SomersetCCC: West Indies 'A' currently 192/6 here at the CACG, which is a lead of 302 runs at lunch on day three

Below is a fine piece…",ab619cricket,positive
RT @meganmillarddd: Just a PSA :) https://t.co/AIrrsiLAfQ,Fadhila_Siraj,positive
RT @Zulmahmood1: Stupidest idea I had in Secondary school was thinking science was superior to the Arts🤦‍♂️,Fadhila_Siraj,positive
"RT @engrasimabbasi: Your today's vote and support will decide about future of your generation.
If you want justice, education, prosperous n…",KamranSharifpk,neutral
RT @Bahaushee: A raba wannan gardamar: Shin 2019 Arewa SAK zamuyi ko CANCANTA?,Fadhila_Siraj,neutral
"ये हिंदू ये मुस्लिम कब तक करेंगे हम

चलो साथ चले किसी गरीब के घर.
                  Zuber siraj

@Rekhta… https://t.co/XYTl4L82dg",siraj_zuber,neutral
RT @Skricardi: https://t.co/2Hs4pcm6hs,Fadhila_Siraj,neutral
"RT @FakhuusHashim: Someone is advertising her soap with my face, I better get paid for this. https://t.co/2GaSra7Bnx",Fadhila_Siraj,positive
@BasitSherani @KhanBehroz @a_siab مننه وروره,siraj_salarzai,neutral
"Umair with Siraj. 
#VoteForKitab https://t.co/7dCG8ljAgZ",Mujahid_e_Islam,neutral
@siraj_salarzai @KhanBehroz @a_siab وروره دغه دې.  دا ډاؤنلوډ کړه https://t.co/FZ7uqEPTuR,BasitSherani,neutral
"RT @HailKayode: Lol forget about Apple and BitCoin investments.

Meet Vichai Srivaddhanaprabha, Chairman of Leicester City FC

Kante - £5.6…",Alamin_siraj,positive
RT @_Faroukumar: Alhamdulilah finally done!🎓 https://t.co/kVpTQItP7u,Alamin_siraj,neutral
@BasitSherani @KhanBehroz @a_siab مننه کوم۔ دا کم کي بورړ دې؟ زما د دې خوند وران دى,siraj_salarzai,neutral
"RT @BasitSherani: @siraj_salarzai @KhanBehroz @a_siab پـښتـونــــه تـــــرانې جـالنــدهري رانـــه اودۀ کړې
دې شين بېرغ دا ستا په وطن څه چار…",siraj_salarzai,neutral
"@siraj_salarzai @KhanBehroz @a_siab پـښتـونــــه تـــــرانې جـالنــدهري رانـــه اودۀ کړې
دې شين بېرغ دا ستا په وطن… https://t.co/HmeN077vxI",BasitSherani,neutral
"Jacobabad:
Ameer Jamat Islami Pakistan Siraj-ul-Haq 16July ko DC Chowk Par MMA K Jalsai Aam Se khitab karenge.
Deedar Ali Lashari
Umdwar PS1",PakNewsJcd,neutral
"जिस शाख पे हु में, वो कभी भी टूट सकती है

उम्मीद भरी राह कभी भी उजड़ सकती है

शम्मा हु आंधी का सामना नहीं कर सकता… https://t.co/idI95qPqBq",siraj_zuber,neutral
Siraj-Ud-Daula sends his regards. #WorldCupRussia2018 #বৃটিশ https://t.co/kac0If9HFR,Kazi_76,neutral
@siraj_hussain95 Stick to cricket mate,Shaank4,neutral
"ہُن جے مِلے تے روک کے پُچّھاں
ویکھیا ای اپنا حال
کِتّھے گئی اوہ رنگت تیری
سِپّاں ورگی چال
گَلّاں کردِیاں گُنڈیاں اَ… https://t.co/kLVnc0Pf2q",siraj_ansa,neutral
@Shaank4 Thanks Glenn hoddle,siraj_hussain95,positive
Jcd Amir Jamat Islami Pakistan Siraj ul Haq 16 july ko DC Chowk pr MMA k Jalsai aam sy khitab karenge.Deedar Ali Lashari,RawahiNews,neutral
@Sirajudeenubea1 Thank uki siraj,Sastika_R,neutral
@b7h6PMPuWPMywhC افا هذي من ديار جهينة يم تركي,Siraj_Sky6,neutral
"RT @Pengapit: 95% pasangan bergaduh ni mesti kaum lelaki yang akan meminta maaf walaupun perempuan yang salah, 
perempuan kan sentiasa betu…",siraj_wan,neutral
"پښتونه ترانې جالهندري رانه اودۀ کړې
دې شين بېرغ دا ستا په وطن څه چارې ونۀ کړې
زمونږ د کلي لاره کښې يو تور سړى ولاړ… https://t.co/5Z4llVsQp2",siraj_salarzai,neutral
صح ليش يعني 🤘🏻❤️ بشااااااشتي https://t.co/zxhNQKV9gx,siraj_242,neutral
RT @MatthewACherry: No other tweets on this subject are necessary. We have our winner. https://t.co/hRNzQngiGl,Fadhila_Siraj,negative
"Suffa Jamat Khana
231 Durban Road, Korsten

First Juma
13 July 2018
Mufti Siraj Desai

Suffa Jamat Khana will repla… https://t.co/FID1jeRI5d",IslamicFocus,positive
@biha_siraj Good info..,miszseha,positive
RT @aibbio: Siraj Raval in his element discussing the AI+Blockchain potential. #Ai #Blockchain #AiBB https://t.co/733277gjeN,onelove_media,neutral
@biha_siraj Tau xpe biha.. Xfaham aku family mcm ni.. Klau dh rasa xleh terima then xyah ckp isu politik.. Nama pn… https://t.co/8PKjg6BQyA,miszseha,neutral
Amir Jamat Islami Pakistan Siraj ul Haq 16 july ko DC Chowk pr MMA k Jalsai aam sy khitab karenge. Deedar Ali Lashari.,AmanNewsjcd,neutral
"RT @Shahspiration: Flanay Tabah Dy
Dingray Tabah Dy
Ra Wekh Shai khalqoo 
Pukhtoon Tabah Dy

@hasankhyber @niazbeen313 @gul_marjan @siraj_s…",QadirKhanMRD,neutral
Watch inspirational movie mukkabaaz #IndianCricketTeam #movies #BollywoodActress #hot #trending https://t.co/26s3TyIBYu,siraj_majhi,positive
Look who showed up at the World Cup ... https://t.co/Rcw4HjfjqI,SirajHuda,neutral
Jcd: Amir Jamat Islami Pakistan Siraj ul Haq 16 july ko DC Chowk pr MMA k Jalsai aam sy khitab karenge. Deedar Ali Lashari.,sarangnewsalert,neutral
4 Wickets For Siraj &amp; 3 Wickets For Gurbani.,CricCrazyJohns,neutral
